Test Case ID,Module/Feature,Test Case Title,Test Description,Preconditions,Test Steps,Expected Result,Test Data,Priority,Test Type,Status
TC_FB_001,Form Builder Access,Access and edit all form types,From Form Builder select My Profile then each Submission and Review form for every stage make a small edit and verify each form is editable and changes remain on that form,"1. Admin is logged in
2. User is on Form Builder page
3. At least 2 stages exist","1. Open Form Builder
2. Select My Profile in sidebar
3. Make a small change (e.g., add heading or rename a field)
4. Select each Submission form for every stage and make a small change
5. Select each Review form for every stage and make a small change","1. My Profile form can be selected and edited
2. Submission forms for all stages can be selected and edited
3. Review forms for all stages can be selected and edited",N/A,High,Functional,Pending
TC_FB_002,Form Options,All required component types are available,Open Form Options and verify required Static Elements and Form Elements are listed,"1. Admin is on Form Builder
2. Any form is selected","1. Open Form Options panel
2. Verify Static Elements list
3. Verify Form Elements list","1. Static Elements include Heading, Content, Divider, Page break
2. Form Elements include Text, Text Area, Checkbox, Radio, Drop-down, Auto suggest, Multi-Select, Date/time, Country, File upload, Image upload",N/A,High,Functional,Pending
TC_FB_003,Form Canvas,Drag and drop component placement,Drag any component from Form Options to the canvas and verify it appears at the drop position and is editable,"1. Admin is on Form Builder
2. Form Options panel is visible","1. Select any component (e.g., Text)
2. Drag the component onto the form canvas
3. Drop the component","1. Component appears in the form layout at the drop position
2. Component is selectable for editing",N/A,High,Functional,Pending
TC_FB_004,Custom Fields,Custom fields data is reported,Add a custom field to My Profile Submission and Review forms then populate as Submitter Reviewer and Committee and verify data shows in corresponding sections and reporting,"1. Admin can edit forms
2. Submitter/Reviewer/Committee accounts exist","1. Add a custom field to My Profile form and save
2. Add a custom field to a Submission form and save
3. Add a custom field to a Review form and save
4. As Submitter, populate custom fields and submit
5. As Reviewer/Committee, populate custom fields and submit review
6. View corresponding sections and reports","1. Custom field data appears in the correct My Profile/Submission/Review sections
2. Custom field data is available in reporting or exports for each role",Sample custom fields,High,Functional,Pending
TC_FB_005,Visibility Rules,Configure visibility rules with all/any conditions,Open visibility rules and verify All or Any conditions can be used with system and custom fields and operators match each field type,"1. Admin is editing a form
2. At least one system field and one custom field exist","1. Open visibility rules for a field
2. Choose All conditions must be met
3. Add a condition using a system field
4. Add a condition using a custom field
5. Switch to Any conditions must be met
6. Verify operator options for different field types (text, date, choice)","1. Rule builder supports both All and Any conditions
2. Conditions can use system and custom fields
3. Operator list matches field type (e.g., date has before/after, text has contains)",N/A,High,Functional,Pending
TC_FB_006,My Profile,Default fields match Users section,Open My Profile in Form Builder and compare default system fields with Users section fields and verify they match,"1. Admin can access Users section
2. Admin is on Form Builder","1. Open My Profile form in Form Builder
2. List default system fields shown
3. Open Users section and list user fields
4. Compare both lists","1. Default system fields in My Profile match the fields displayed in Users section",N/A,Medium,Functional,Pending
TC_FB_007,My Profile,Prevent deletion of default profile fields,Attempt to delete a default system field on My Profile and verify deletion is blocked and field remains,"1. My Profile form is open
2. Default system fields are visible","1. Select a default system field
2. Attempt to delete it","1. Delete action is blocked
2. Warning or tooltip indicates deletion is not allowed
3. Field remains on the form",N/A,High,Functional,Pending
TC_FB_008,My Profile,Hide default profile fields by group,For a default system field uncheck visibility for Everyone Submitter Reviewer and Committee then save and verify field is hidden for those groups,"1. My Profile form is open
2. User groups exist (Everyone, Submitter, Reviewer, Committee)","1. Select a default system field
2. Uncheck Visibility for Everyone, Submitter, Reviewer, Committee
3. Save form
4. View My Profile as each group","1. Field is hidden for each group whose visibility is unchecked
2. Field remains visible for groups still checked",N/A,High,Functional,Pending
TC_FB_009,Submission Form,Default Submission fields are present,Open a Submission form and verify mandatory default Submission and Review fields are present,"1. Submission form exists for a stage
2. Admin is on Form Builder","1. Open a Submission form
2. Locate default system fields","1. Submission field is present
2. Review field is present",N/A,High,Functional,Pending
TC_FB_010,Submission Form,Mandatory Submission fields remain required,Attempt to set mandatory Submission and Review fields to optional and verify required status cannot be removed,"1. Submission form is open
2. Mandatory fields are visible","1. Select Submission field and try to set Required to optional
2. Select Review field and try to set Required to optional","1. Required toggle is disabled or action is rejected
2. Fields remain required on the form",N/A,High,Functional,Pending
TC_FB_011,Review Form,Default Review fields are present with correct types,Open a Review form and verify Conflict of Interest is Yes No radio Review is comment textbox and Score is scoring radio,"1. Review form exists for a stage
2. Admin is on Form Builder","1. Open a Review form
2. Verify Conflict of Interest field type
3. Verify Review field type
4. Verify Score field type","1. Conflict of Interest is a Yes/No radio
2. Review is a comment or textbox
3. Score is a special scoring radio",N/A,High,Functional,Pending
TC_FB_012,Sidebar,Show total form count and highlight selected form,On the sidebar verify header shows total form count and selected form is highlighted,"1. Admin is on Form Builder
2. Forms list is visible","1. Observe sidebar header
2. Select any form
3. Verify highlight state","1. Sidebar header shows total form count (e.g., Forms (7))
2. Currently selected form is highlighted",N/A,Medium,UI,Pending
TC_FB_013,Sidebar,Forms grouped by stage with type and name,In the sidebar verify forms are grouped by stage and each item shows form type and stage name,"1. Multiple stages exist
2. Forms list is visible","1. Review sidebar groups
2. Check each item label","1. Forms are grouped under Stage 1, Stage 2, etc.
2. Each form item displays form type and stage name",N/A,Medium,UI,Pending
