Test Case ID,Module/Feature,Test Case Title,Test Description,Preconditions,Test Steps,Expected Result,Test Data,Priority,Test Type,Status
TC_001,Add Todo Item,Add new todo item with valid input,Verify that user can successfully add a new todo item with valid text input,1. Application is loaded successfully 2. Todo list is displayed,"1. Navigate to the Todo App
2. Locate the input field with placeholder 'Title...'
3. Enter valid text: 'New Task Item'
4. Click on 'Add' button
5. Verify the todo list","1. New todo item should be added to the list
2. New item should appear at the bottom of the existing list
3. Input field should be cleared after adding
4. Close button (×) should be visible on the new item",Input: 'New Task Item',High,Functional,Pending
TC_002,Add Todo Item,Add todo item with empty input,Verify that system shows validation message when user tries to add empty todo item,1. Application is loaded successfully 2. Todo list is displayed,"1. Navigate to the Todo App
2. Locate the input field with placeholder 'Title...'
3. Leave the input field empty
4. Click on 'Add' button
5. Verify the alert message","1. Alert message should display: 'You must write something!'
2. No new item should be added to the list
3. Input field remains empty",Input: '' (empty string),High,Functional,Pending
TC_003,Add Todo Item,Add todo item with special characters,Verify that user can add todo item with special characters,1. Application is loaded successfully,"1. Navigate to the Todo App
2. Enter text with special characters: 'Buy @groceries #shopping $100!'
3. Click on 'Add' button
4. Verify the new item in list","1. Todo item with special characters should be added successfully
2. Special characters should be displayed correctly
3. Item should have close button",Input: 'Buy @groceries #shopping $100!',Medium,Functional,Pending
TC_004,Add Todo Item,Add todo item with very long text,Verify system behavior when adding todo item with long text (more than 100 characters),1. Application is loaded successfully,"1. Navigate to the Todo App
2. Enter text with 150 characters
3. Click on 'Add' button
4. Verify the display","1. Long text should be added to the list
2. Text should be displayed properly (may wrap or truncate)
3. Close button should be visible",Input: 'A' repeated 150 times,Low,Functional,Pending
TC_005,Add Todo Item,Add todo item with only spaces,Verify system behavior when adding todo item with only whitespace,1. Application is loaded successfully,"1. Navigate to the Todo App
2. Enter multiple spaces in input field: '     '
3. Click on 'Add' button
4. Observe the behavior","1. Item with spaces should be added (current behavior)
2. Close button should be present
Note: This may be a bug - empty validation might need to check trimmed value",Input: '     ' (5 spaces),Medium,Functional,Pending
TC_006,Add Todo Item,Add todo item using Enter key,Verify if user can add todo item by pressing Enter key (keyboard accessibility),1. Application is loaded successfully,"1. Navigate to the Todo App
2. Click on input field to focus
3. Enter valid text: 'Task via Enter'
4. Press Enter key
5. Verify if item is added","Expected: Item should be added by pressing Enter key
Actual: Feature may not be implemented - requires verification",Input: 'Task via Enter',Low,Functional,Pending
TC_007,Delete Todo Item,Delete existing todo item,Verify that user can delete an existing todo item using close button,1. Application is loaded 2. At least one todo item exists in the list,"1. Navigate to the Todo App
2. Locate any todo item in the list
3. Hover over the item to see close button (×)
4. Click on the close button (×)
5. Verify the item is removed","1. Clicked todo item should disappear from view (display:none)
2. Item should not be visible in the list
3. Other items should remain unaffected",Select any existing item,High,Functional,Pending
TC_008,Delete Todo Item,Delete newly added todo item,Verify that user can delete a newly added todo item,1. Application is loaded,"1. Add a new todo item: 'Test Delete Item'
2. Locate the newly added item
3. Click on close button (×) of the new item
4. Verify deletion","1. Newly added item should be removed from view
2. Item should disappear immediately after clicking close button",Input: 'Test Delete Item',High,Functional,Pending
TC_009,Delete Todo Item,Hover effect on close button,Verify visual feedback when hovering over close button,1. Application is loaded 2. Todo items exist,"1. Navigate to any todo item
2. Hover mouse over the close button (×)
3. Observe the visual change
4. Move mouse away
5. Verify hover effect is removed","1. Close button background should change to red (#f44336)
2. Text color should change to white
3. Effect should be removed when mouse leaves",Visual verification,Medium,UI/Functional,Pending
TC_010,Mark Todo Complete,Toggle todo item to completed state,Verify that user can mark a todo item as completed by clicking on it,1. Application is loaded 2. Uncompleted todo items exist,"1. Navigate to the Todo App
2. Locate an uncompleted todo item (e.g., 'Git - Introduction')
3. Click on the todo item text
4. Verify the visual change","1. Item should toggle 'checked' class
2. Background should change to gray (#888)
3. Checkmark icon should appear before the text
4. Text may have strikethrough (if completed-item class is added)
Note: Current code has incomplete toggle implementation",Click on 'Git - Introduction',High,Functional,Pending
TC_011,Mark Todo Complete,Toggle completed item back to uncompleted,Verify that user can unmark a completed todo item,1. Application is loaded 2. Completed todo item exists (e.g., 'KMS Next Programming Introduction'),"1. Navigate to the Todo App
2. Locate a completed item (with gray background and checkmark)
3. Click on the completed item
4. Verify the toggle back to uncompleted state","1. Item should remove 'checked' class
2. Background should change back to normal color
3. Checkmark should disappear
4. Item should look like uncompleted state
Note: Current implementation needs verification",Click on completed item,High,Functional,Pending
TC_012,Mark Todo Complete,Double click on todo item,Verify system behavior when double-clicking a todo item,1. Application is loaded 2. Todo items exist,"1. Navigate to the Todo App
2. Locate any todo item
3. Double-click on the item quickly
4. Observe the behavior","1. Item should toggle checked state twice
2. Final state depends on implementation
3. No errors should occur",Double-click on any item,Low,Functional,Pending
