"TC ID","Area","Role","Scenario / Title","Preconditions","Steps","Expected Result","Priority","Type","Status","Owner","Date","Build","Notes"
"STREAM-001","Scheduling & Advance Testing","Host","Host can start and test a meeting up to 7 days in advance","A Stream meeting is scheduled for a future date; current date is within 7 days before the scheduled start.","1) Open the meeting from the platform/dashboard
2) Click Start/Test meeting (advance)
3) Enter the stream room","Host can enter a test session; stream is not publicly live to attendees unless explicitly started; UI indicates test mode if applicable.","P0","Functional","Not Run","","","",""
"STREAM-002","Scheduling & Advance Testing","Host","Host is blocked from starting/testing earlier than 7 days in advance","A Stream meeting scheduled >7 days in the future; current date is earlier than allowed window.","1) Attempt to Start/Test meeting","System blocks the action and shows a clear message about the 7-day advance limit.","P0","Functional","Not Run","","","",""
"STREAM-003","Start Meeting & Auto Provisioning","Host","Channel and stream are automatically created when host clicks Start meeting","Stream meeting exists; no channel/stream has been created yet for this meeting.","1) Host clicks Start meeting
2) Observe provisioning behavior
3) Refresh/reopen meeting page","A channel/stream is created automatically and linked to the meeting; host lands in the live/test room; reloading does not create duplicates.","P0","Functional","Not Run","","","",""
"STREAM-004","Start Meeting & Auto Provisioning","Host","Idempotency: multiple rapid Start clicks do not create duplicate channels/streams","Stream meeting exists; host has access.","1) Host clicks Start multiple times quickly (or open in 2 tabs and click Start)
2) Inspect meeting state","Only one channel/stream is created; host ends up in a single live session; no duplicate entries or errors.","P0","Reliability","Not Run","","","",""
"STREAM-005","Start Meeting & Auto Provisioning","Host","Graceful error handling if auto provisioning fails","Simulate backend failure (if test environment supports) or invalid provisioning state.","1) Host clicks Start meeting
2) Observe error handling and retry","Host sees actionable error message; retry works when backend recovers; system does not get stuck in partial state.","P0","Reliability","Not Run","","","",""
"STREAM-006","Waiting Room","Attendee","Attendee is placed in waiting room before live streaming starts","Meeting is scheduled; host has not started the live stream yet; attendee is eligible to join.","1) Attendee attempts to join
2) Observe UI state","Attendee cannot view live stream yet; sees waiting room UI with clear messaging (e.g., “Waiting for host to start”).","P0","Functional","Not Run","","","",""
"STREAM-007","Waiting Room","Attendee","When host starts live stream, attendees in waiting room transition to the live stream","One or more attendees are in waiting room; host is ready to go live.","1) Host starts live
2) Attendee observes transition
3) Verify stream playback","Attendees are seamlessly moved from waiting room to live stream; playback starts; no manual refresh required (or a clear CTA is provided).","P0","Functional","Not Run","","","",""
"STREAM-008","Waiting Room","Attendee","Attendee refreshes waiting room page and remains in waiting room (no bypass)","Host has not started live; attendee is in waiting room.","1) Refresh the page
2) Observe state","Attendee remains in waiting room; cannot access live stream content before it starts.","P0","Security","Not Run","","","",""
"STREAM-009","Webcam Stream (Up to 10)","Host","Real-time stream supports webcams for up to 10 users concurrently","At least 11 eligible users can join; permissions allow camera use.","1) Host starts meeting
2) Have 10 users enable webcams
3) User #11 attempts to enable webcam","System enforces the 10-webcam limit: user #11 is blocked or forced video-off with a clear message; existing 10 streams remain stable.","P0","Functional","Not Run","","","",""
"STREAM-010","Webcam Stream (Up to 10)","Attendee","When one webcam stops, another user can start webcam (limit re-balances)","10 webcams are currently active; user A turns webcam off.","1) User A turns webcam off
2) User B turns webcam on","User B can enable webcam; total active webcams remain <=10.","P1","Functional","Not Run","","","",""
