Issue Key,Test Summary,Test Description,Priority,Status,Folder,Component,Labels,Step,Test Data,Expected Result
,"US-001-TC-001: Add a new todo item (happy path)","US-001 Add item via input + Add button",High,Draft,"Todo App",UI,"US-001,todo",1,"Title=Buy milk","New item is appended with text 'Buy milk'"
,"US-001-TC-001: Add a new todo item (happy path)","US-001 Add item via input + Add button",High,Draft,"Todo App",UI,"US-001,todo",2,"","New item includes close (×) button"
,"US-001-TC-001: Add a new todo item (happy path)","US-001 Add item via input + Add button",High,Draft,"Todo App",UI,"US-001,todo",3,"","Input field is cleared"
,"US-001-TC-002: Prevent adding an empty todo item","US-001 Validation for empty input",High,Draft,"Todo App",UI,"US-001,todo",1,"Title=(empty)","Alert shown: 'You must write something!'"
,"US-001-TC-002: Prevent adding an empty todo item","US-001 Validation for empty input",High,Draft,"Todo App",UI,"US-001,todo",2,"","No new item is added"
,"US-001-TC-002: Prevent adding an empty todo item","US-001 Validation for empty input",High,Draft,"Todo App",UI,"US-001,todo",3,"","Input remains empty"
,"US-001-TC-003: Add a todo item with a long title","US-001 Boundary: long input",Medium,Draft,"Todo App",UI,"US-001,todo,boundary",1,"Title=256+ chars","New item is added with full text"
,"US-001-TC-003: Add a todo item with a long title","US-001 Boundary: long input",Medium,Draft,"Todo App",UI,"US-001,todo,boundary",2,"","Input field is cleared"
,"US-001-TC-003: Add a todo item with a long title","US-001 Boundary: long input",Medium,Draft,"Todo App",UI,"US-001,todo,boundary",3,"","New item includes close (×) button"
,"US-001-TC-004: Add whitespace-only title (current behavior)","US-001 Boundary/UX: whitespace-only title allowed by current logic",Medium,Draft,"Todo App",UI,"US-001,todo,ux",1,"Title='   '","New item is added (current behavior)"
,"US-001-TC-004: Add whitespace-only title (current behavior)","US-001 Boundary/UX: whitespace-only title allowed by current logic",Medium,Draft,"Todo App",UI,"US-001,todo,ux",2,"","Item appears blank/whitespace"
,"US-001-TC-004: Add whitespace-only title (current behavior)","US-001 Boundary/UX: whitespace-only title allowed by current logic",Medium,Draft,"Todo App",UI,"US-001,todo,ux",3,"","Input field is cleared"
,"US-001-TC-005: Input is treated as text (XSS-resistant rendering)","US-001 Security: input is inserted as text node",Medium,Draft,"Todo App",UI,"US-001,todo,security",1,"Title=<script>alert(1)</script>","New item is added and displays literal string"
,"US-001-TC-005: Input is treated as text (XSS-resistant rendering)","US-001 Security: input is inserted as text node",Medium,Draft,"Todo App",UI,"US-001,todo,security",2,"","No script executes"
,"US-001-TC-005: Input is treated as text (XSS-resistant rendering)","US-001 Security: input is inserted as text node",Medium,Draft,"Todo App",UI,"US-001,todo,security",3,"","Input field is cleared"
,"US-001-TC-006: Add multiple todo items sequentially","US-001 Regression: multiple adds in a row",Medium,Draft,"Todo App",UI,"US-001,todo,regression",1,"Titles=A,B,C","Three new items appended in order"
,"US-001-TC-006: Add multiple todo items sequentially","US-001 Regression: multiple adds in a row",Medium,Draft,"Todo App",UI,"US-001,todo,regression",2,"","Each new item includes close (×)"
,"US-001-TC-006: Add multiple todo items sequentially","US-001 Regression: multiple adds in a row",Medium,Draft,"Todo App",UI,"US-001,todo,regression",3,"","Input cleared after each add"

,"US-002-TC-001: Toggle incomplete item to completed","US-002 Toggle completion on LI click",High,Draft,"Todo App",UI,"US-002,todo",1,"Select incomplete item","Item gains completed styling"
,"US-002-TC-001: Toggle incomplete item to completed","US-002 Toggle completion on LI click",High,Draft,"Todo App",UI,"US-002,todo",2,"","Item has classes: checked + completed-item"
,"US-002-TC-002: Toggle completed item back to incomplete","US-002 Toggle off on second click",High,Draft,"Todo App",UI,"US-002,todo,regression",1,"Select completed item","Completion styling removed"
,"US-002-TC-002: Toggle completed item back to incomplete","US-002 Toggle off on second click",High,Draft,"Todo App",UI,"US-002,todo,regression",2,"","Classes checked + completed-item removed"
,"US-002-TC-003: Clicking close does not toggle completion","US-002 Negative: close click should not toggle",Medium,Draft,"Todo App",UI,"US-002,todo,negative",1,"Select incomplete item","Item is incomplete before action"
,"US-002-TC-003: Clicking close does not toggle completion","US-002 Negative: close click should not toggle",Medium,Draft,"Todo App",UI,"US-002,todo,negative",2,"Click close (×)","Item hides without becoming completed"
,"US-002-TC-004: Clicking outside items does not toggle completion","US-002 Negative: only LI toggles",Low,Draft,"Todo App",UI,"US-002,todo,negative",1,"Click page background","No items change completion state"

,"US-003-TC-001: Initial items include close buttons","US-003 Verify close (×) exists on initial items",High,Draft,"Todo App",UI,"US-003,todo",1,"On first load","Close (×) visible on inspected items"
,"US-003-TC-002: Remove existing item via close","US-003 Hide item when close clicked",High,Draft,"Todo App",UI,"US-003,todo",1,"Select any existing item","Item is visible before action"
,"US-003-TC-002: Remove existing item via close","US-003 Hide item when close clicked",High,Draft,"Todo App",UI,"US-003,todo",2,"Click close (×)","Item becomes hidden from list"
,"US-003-TC-003: Remove newly added item via close","US-003 Close works for new items",High,Draft,"Todo App",UI,"US-003,todo,regression",1,"Add Title=Temp item","New item appears with close (×)"
,"US-003-TC-003: Remove newly added item via close","US-003 Close works for new items",High,Draft,"Todo App",UI,"US-003,todo,regression",2,"Click close (×)","New item becomes hidden"
,"US-003-TC-004: Deleted item remains in DOM but hidden","US-003 Current behavior: display:none",Low,Draft,"Todo App",UI,"US-003,todo,regression",1,"Use DevTools Elements","LI remains but has style display:none"
