Test Case ID,Title,Mapped AC(s),Notes
TC-EMAILTPL-001,Access,N/A,"Not defined in AC1–AC9 (navigation/access)"
TC-EMAILTPL-002,Page UI load,N/A,"Not defined in AC1–AC9 (general UI)"
TC-EMAILTPL-003,Template list display,N/A,"Not defined in AC1–AC9 (list/table)"
TC-EMAILTPL-004,Pagination,N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-005,Sorting,N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-006,Search,N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-007,Filter,N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-008,"UI (Grid/List/Compact)",N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-009,"Views & Columns (create/save/edit/delete view)",N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-010,"Views & Columns (drag to reorder)",N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-011,Global email settings,N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-012,"Send emails manually (incl. test)",N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-013,Create form displayed,AC1,"Create Email Templates"
TC-EMAILTPL-014,Create template saved,AC1,"Create + save"
TC-EMAILTPL-015,Create validation errors,AC1,"Validation supports create/save behavior"
TC-EMAILTPL-016,Edit form populated,AC2,"Edit Email Templates"
TC-EMAILTPL-017,Edit template saved,AC2,"Save + reflected updates"
TC-EMAILTPL-018,Delete confirmation shown,AC3,"Delete confirmation"
TC-EMAILTPL-019,Delete cancelled,AC3,"Cancel path (supports confirmation requirement)"
TC-EMAILTPL-020,Delete confirmed,AC3,"Remove after confirmation"
TC-EMAILTPL-021,Copy confirmation shown,AC4,"Copy confirmation"
TC-EMAILTPL-022,Copy cancelled,AC4,"Cancel path (supports confirmation requirement)"
TC-EMAILTPL-023,Copy confirmed,AC4,"Copy after confirmation"
TC-EMAILTPL-024,Role options available,AC5,"Role-Based Templates"
TC-EMAILTPL-025,Trigger types available,AC6,"Trigger Types Configuration"
TC-EMAILTPL-026,Enable template,AC7,"Enable templates + status saved"
TC-EMAILTPL-027,Disable template,AC7,"Disable templates + status saved"
TC-EMAILTPL-028,Subject and body editable,AC8,"Template Subject and Body"
TC-EMAILTPL-029,Subject and body saved,AC8,"Content saved with template"
TC-EMAILTPL-030,Automated notifications sent,AC9,"Automated Notification Usage"
TC-EMAILTPL-031,Template selected by trigger,"AC9; AC6","Selection by trigger belongs to AC9; trigger concept is AC6"
TC-EMAILTPL-032,Notification uses template content,"AC9; AC8","Sending uses subject/body (AC8)"
TC-EMAILTPL-033,"Role-based recipients - Submitters","AC9; AC5","Role-based selection/recipients (AC5) + sending (AC9)"
TC-EMAILTPL-034,"Role-based recipients - Reviewers","AC9; AC5","Role-based selection/recipients (AC5) + sending (AC9)"
TC-EMAILTPL-035,"Role-based recipients - Committee","AC9; AC5","Role-based selection/recipients (AC5) + sending (AC9)"
TC-EMAILTPL-036,Use global email settings option (visible),N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-037,Use global email settings checked,N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-038,"Uncheck global settings shows fields (Manual trigger)",N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-039,Manual settings saved & persisted,N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-040,Sending uses global vs manual,"AC9 (partial); N/A","Sending is AC9; global/manual settings behavior isn’t in AC1–AC9"
TC-EMAILTPL-041,"Uncheck global settings shows fields (Submitter trigger)",N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-042,"Uncheck global settings shows fields (Committee trigger)",N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-043,"Uncheck global settings shows fields (Reviewer trigger)",N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-044,Include all Applicants on Applicant List,N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-045,Single Mode,N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-046,"Multi-Mode select multiple",N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-047,"Bulk Delete (Multi-Mode)",N/A,"Not defined in AC1–AC9"
TC-EMAILTPL-048,"Bulk Edit (Multi-Mode)",N/A,"Not defined in AC1–AC9"
