"TC ID","Area","Role","Scenario / Title","Preconditions","Steps","Expected Result","Priority","Type","Status","Owner","Date","Build","Notes"
"JOIN-001","Access & Timing","Host","Host can start/join the session up to 4 hours before the scheduled start time","Session type = Meeting (Collaborative) BETA; Host is assigned in Session Editor; Current time = T-4h.","1) Go to Agenda lobby page
2) Open the session
3) Click Start/Join","Host enters the meeting successfully; correct session title/timer is shown; not blocked by attendee open-time rules.","P0","Functional","Not Run","","","",""
"JOIN-002","Access & Timing","Host","Host is blocked when attempting to start/join earlier than 4 hours before start time","Session type = Meeting (Collaborative) BETA; Host assigned; Current time = T-4h-1m.","1) Go to Agenda lobby page
2) Click Start/Join","Host cannot enter; a clear message is shown (e.g., “You can start this session 4 hours before start time”).","P0","Functional","Not Run","","","",""
"JOIN-003","Access & Timing","Attendee","Attendee cannot join before the configured attendee open time","Attendee open time is configured (e.g., 10 minutes before start); Current time is earlier than open time; Attendee is eligible for the event.","1) Go to Agenda lobby page
2) Click Join","Attendee is blocked; a message/countdown indicates when the session opens.","P0","Functional","Not Run","","","",""
"JOIN-004","Access & Timing","Attendee","Attendee can join starting from the configured attendee open time","Current time is within the attendee open window; Session is unlocked OR (if locked) a host is available to admit.","1) Go to Agenda lobby page
2) Click Join
3) Complete pre-join (if shown)","Attendee enters the meeting (or waiting room if locked); no permission/timing gating errors occur.","P0","Functional","Not Run","","","",""
"JOIN-005","Access & Timing","Speaker","Speaker join timing follows the intended rule (speaker behaves like attendee or host)","Speaker assigned in Session Editor; Attendee open time configured; clarify expected behavior for the product (speaker uses attendee open time vs host early-start).","1) Go to Agenda lobby page
2) Click Join","Behavior matches the intended design: speaker is allowed/blocked based on the rule.","P1","Functional","Not Run","","","","If spec is unclear, capture actual behavior and confirm with product."
"JOIN-006","Agenda Lobby Entry","Attendee","Joining from the Agenda lobby page routes to the correct meeting session","Session is visible on Agenda; attendee is eligible; attendee open time has started.","1) Open Agenda
2) Select the correct session
3) Click Join","User lands in the correct session (not another one); correct title/time shown; participant count updates.","P1","Functional","Not Run","","","",""
"JOIN-007","Agenda Lobby Entry","Unknown/Guest","Unauthenticated or unauthorized user is blocked from joining","User is not authenticated OR not part of the event; user has access to a session link (if applicable).","1) Open Agenda or join URL
2) Attempt to Join","User is prompted to sign in or shown access denied; user cannot enter the meeting.","P0","Security","Not Run","","","",""
"JOIN-008","Pre-join & Device Checks","Attendee","Join with microphone permission blocked","Browser mic permission = blocked; attendee open time has started.","1) Join meeting
2) Try to enable microphone in pre-join or in-meeting","App shows clear guidance to enable permissions; mute state is correct; meeting does not crash.","P0","Functional","Not Run","","","",""
"JOIN-009","Pre-join & Device Checks","Attendee","Join with camera permission blocked","Browser camera permission = blocked; attendee open time has started.","1) Join meeting
2) Try to enable camera","App guides the user to enable permissions; user can still stay in meeting with video off; UI shows correct video-off indicators.","P1","Functional","Not Run","","","",""
"JOIN-010","Pre-join & Device Checks","Attendee","Select mic/camera/speaker devices in pre-join and join successfully","Machine has multiple audio devices or virtual devices; attendee open time has started.","1) Join
2) Select mic/camera/speaker
3) Enter the meeting","Selected devices are applied; audio/video works; device choice is not reset upon joining.","P1","Functional","Not Run","","","",""
